Municipios;Sexo;Periodo;Total
17009 Arbúcies;Total;2021;6.507
17009 Arbúcies;Total;2020;6.608
17009 Arbúcies;Total;2019;6.556
17009 Arbúcies;Total;2018;6.515
17009 Arbúcies;Total;2017;6.427
17009 Arbúcies;Total;2016;6.380
17009 Arbúcies;Total;2015;6.297
17009 Arbúcies;Total;2014;6.481
17009 Arbúcies;Total;2013;6.527
17009 Arbúcies;Total;2012;6.741
17009 Arbúcies;Total;2011;6.713
17009 Arbúcies;Total;2010;6.647
17009 Arbúcies;Total;2009;6.595
17009 Arbúcies;Total;2008;6.526
17009 Arbúcies;Total;2007;6.271
17009 Arbúcies;Total;2006;6.232
17009 Arbúcies;Total;2005;6.002
17009 Arbúcies;Total;2004;5.775
17009 Arbúcies;Total;2003;5.599
17009 Arbúcies;Total;2002;5.416
17009 Arbúcies;Total;2001;5.208
17009 Arbúcies;Total;2000;5.026
17009 Arbúcies;Total;1999;4.939
17009 Arbúcies;Total;1998;4.814
17009 Arbúcies;Total;1997;""
17009 Arbúcies;Total;1996;4.317
17009 Arbúcies;Hombres;2025;3.440
17009 Arbúcies;Hombres;2024;3.379
17009 Arbúcies;Hombres;2023;3.349
17009 Arbúcies;Hombres;2022;3.335
17009 Arbúcies;Hombres;2021;3.355
17009 Arbúcies;Hombres;2020;3.416
17009 Arbúcies;Hombres;2019;3.390
17009 Arbúcies;Hombres;2018;3.378
17009 Arbúcies;Hombres;2017;3.307
17009 Arbúcies;Hombres;2016;3.298
17009 Arbúcies;Hombres;2015;3.259
17009 Arbúcies;Hombres;2014;3.377
17009 Arbúcies;Hombres;2013;3.402
17009 Arbúcies;Hombres;2012;3.538
17009 Arbúcies;Hombres;2011;3.541
17009 Arbúcies;Hombres;2010;3.515
17009 Arbúcies;Hombres;2009;3.508
17009 Arbúcies;Hombres;2008;3.479
17009 Arbúcies;Hombres;2007;3.340
17009 Arbúcies;Hombres;2006;3.368
17009 Arbúcies;Hombres;2005;3.208
17009 Arbúcies;Hombres;2004;3.056
17009 Arbúcies;Hombres;2003;2.953
17009 Arbúcies;Hombres;2002;2.787
17009 Arbúcies;Hombres;2001;2.665
17009 Arbúcies;Hombres;2000;2.543
17009 Arbúcies;Hombres;1999;2.481
17009 Arbúcies;Hombres;1998;2.401
17009 Arbúcies;Hombres;1997;""
17009 Arbúcies;Hombres;1996;2.139
17009 Arbúcies;Mujeres;2025;3.225
17009 Arbúcies;Mujeres;2024;3.195
17009 Arbúcies;Mujeres;2023;3.182
17009 Arbúcies;Mujeres;2022;3.139
17009 Arbúcies;Mujeres;2021;3.152
17009 Arbúcies;Mujeres;2020;3.192
17009 Arbúcies;Mujeres;2019;3.166
17009 Arbúcies;Mujeres;2018;3.137
17009 Arbúcies;Mujeres;2017;3.120
17009 Arbúcies;Mujeres;2016;3.082
17009 Arbúcies;Mujeres;2015;3.038
17009 Arbúcies;Mujeres;2014;3.104
17009 Arbúcies;Mujeres;2013;3.125
17009 Arbúcies;Mujeres;2012;3.203
17009 Arbúcies;Mujeres;2011;3.172
17009 Arbúcies;Mujeres;2010;3.132
17009 Arbúcies;Mujeres;2009;3.087
17009 Arbúcies;Mujeres;2008;3.047
17009 Arbúcies;Mujeres;2007;2.931
17009 Arbúcies;Mujeres;2006;2.864
17009 Arbúcies;Mujeres;2005;2.794
17009 Arbúcies;Mujeres;2004;2.719
17009 Arbúcies;Mujeres;2003;2.646
17009 Arbúcies;Mujeres;2002;2.629
17009 Arbúcies;Mujeres;2001;2.543
17009 Arbúcies;Mujeres;2000;2.483
17009 Arbúcies;Mujeres;1999;2.458
17009 Arbúcies;Mujeres;1998;2.413
17009 Arbúcies;Mujeres;1997;""
17009 Arbúcies;Mujeres;1996;2.178
17010 Argelaguer;Total;2025;468
17010 Argelaguer;Total;2024;452
17010 Argelaguer;Total;2023;428
17010 Argelaguer;Total;2022;439
17010 Argelaguer;Total;2021;417
17010 Argelaguer;Total;2020;396
17010 Argelaguer;Total;2019;397
17010 Argelaguer;Total;2018;423
17010 Argelaguer;Total;2017;423
17010 Argelaguer;Total;2016;415
17010 Argelaguer;Total;2015;412
17010 Argelaguer;Total;2014;425
17010 Argelaguer;Total;2013;425
17010 Argelaguer;Total;2012;425
17010 Argelaguer;Total;2011;424
17010 Argelaguer;Total;2010;425
17010 Argelaguer;Total;2009;445
17010 Argelaguer;Total;2008;430
