Municipios;Sexo;Periodo;Total
25007 Albatàrrec;Mujeres;2010;939
25007 Albatàrrec;Mujeres;2009;887
25007 Albatàrrec;Mujeres;2008;808
25007 Albatàrrec;Mujeres;2007;768
25007 Albatàrrec;Mujeres;2006;705
25007 Albatàrrec;Mujeres;2005;668
25007 Albatàrrec;Mujeres;2004;662
25007 Albatàrrec;Mujeres;2003;633
25007 Albatàrrec;Mujeres;2002;598
25007 Albatàrrec;Mujeres;2001;588
25007 Albatàrrec;Mujeres;2000;563
25007 Albatàrrec;Mujeres;1999;549
25007 Albatàrrec;Mujeres;1998;536
25007 Albatàrrec;Mujeres;1997;""
25007 Albatàrrec;Mujeres;1996;508
25008 Albesa;Total;2025;1.584
25008 Albesa;Total;2024;1.584
25008 Albesa;Total;2023;1.588
25008 Albesa;Total;2022;1.579
25008 Albesa;Total;2021;1.561
25008 Albesa;Total;2020;1.561
25008 Albesa;Total;2019;1.556
25008 Albesa;Total;2018;1.576
25008 Albesa;Total;2017;1.582
25008 Albesa;Total;2016;1.596
25008 Albesa;Total;2015;1.624
25008 Albesa;Total;2014;1.608
25008 Albesa;Total;2013;1.636
25008 Albesa;Total;2012;1.652
25008 Albesa;Total;2011;1.656
25008 Albesa;Total;2010;1.679
25008 Albesa;Total;2009;1.613
25008 Albesa;Total;2008;1.546
25008 Albesa;Total;2007;1.575
25008 Albesa;Total;2006;1.587
25008 Albesa;Total;2005;1.561
25008 Albesa;Total;2004;1.531
25008 Albesa;Total;2003;1.523
25008 Albesa;Total;2002;1.515
25008 Albesa;Total;2001;1.512
25008 Albesa;Total;2000;1.494
25008 Albesa;Total;1999;1.497
25008 Albesa;Total;1998;1.486
25008 Albesa;Total;1997;""
25008 Albesa;Total;1996;1.482
25008 Albesa;Hombres;2025;859
25008 Albesa;Hombres;2024;859
25008 Albesa;Hombres;2023;852
25008 Albesa;Hombres;2022;859
25008 Albesa;Hombres;2021;847
25008 Albesa;Hombres;2020;848
25008 Albesa;Hombres;2019;855
25008 Albesa;Hombres;2018;862
25008 Albesa;Hombres;2017;855
25008 Albesa;Hombres;2016;861
25008 Albesa;Hombres;2015;874
25008 Albesa;Hombres;2014;856
25008 Albesa;Hombres;2013;885
25008 Albesa;Hombres;2012;889
25008 Albesa;Hombres;2011;892
25008 Albesa;Hombres;2010;891
25008 Albesa;Hombres;2009;834
25008 Albesa;Hombres;2008;799
25008 Albesa;Hombres;2007;805
25008 Albesa;Hombres;2006;799
25008 Albesa;Hombres;2005;785
25008 Albesa;Hombres;2004;776
25008 Albesa;Hombres;2003;768
25008 Albesa;Hombres;2002;755
25008 Albesa;Hombres;2001;746
25008 Albesa;Hombres;2000;738
25008 Albesa;Hombres;1999;740
25008 Albesa;Hombres;1998;729
25008 Albesa;Hombres;1997;""
25008 Albesa;Hombres;1996;724
25008 Albesa;Mujeres;2025;725
25008 Albesa;Mujeres;2024;725
25008 Albesa;Mujeres;2023;736
25008 Albesa;Mujeres;2022;720
25008 Albesa;Mujeres;2021;714
25008 Albesa;Mujeres;2020;713
25008 Albesa;Mujeres;2019;701
25008 Albesa;Mujeres;2018;714
25008 Albesa;Mujeres;2017;727
25008 Albesa;Mujeres;2016;735
25008 Albesa;Mujeres;2015;750
25008 Albesa;Mujeres;2014;752
25008 Albesa;Mujeres;2013;751
25008 Albesa;Mujeres;2012;763
25008 Albesa;Mujeres;2011;764
25008 Albesa;Mujeres;2010;788
25008 Albesa;Mujeres;2009;779
25008 Albesa;Mujeres;2008;747
25008 Albesa;Mujeres;2007;770
25008 Albesa;Mujeres;2006;788
25008 Albesa;Mujeres;2005;776
25008 Albesa;Mujeres;2004;755
25008 Albesa;Mujeres;2003;755
25008 Albesa;Mujeres;2002;760
25008 Albesa;Mujeres;2001;766
25008 Albesa;Mujeres;2000;756
25008 Albesa;Mujeres;1999;757
25008 Albesa;Mujeres;1998;757
25008 Albesa;Mujeres;1997;""
25008 Albesa;Mujeres;1996;758
25009 Albi, L';Total;2025;764
25009 Albi, L';Total;2024;766
25009 Albi, L';Total;2023;764
25009 Albi, L';Total;2022;755
25009 Albi, L';Total;2021;749
25009 Albi, L';Total;2020;744
25009 Albi, L';Total;2019;764
25009 Albi, L';Total;2018;762
25009 Albi, L';Total;2017;781
25009 Albi, L';Total;2016;803
25009 Albi, L';Total;2015;819
25009 Albi, L';Total;2014;834
25009 Albi, L';Total;2013;863
25009 Albi, L';Total;2012;860
25009 Albi, L';Total;2011;860
25009 Albi, L';Total;2010;847
25009 Albi, L';Total;2009;836
25009 Albi, L';Total;2008;841
25009 Albi, L';Total;2007;839
25009 Albi, L';Total;2006;811
25009 Albi, L';Total;2005;837
25009 Albi, L';Total;2004;836
25009 Albi, L';Total;2003;826
25009 Albi, L';Total;2002;806
25009 Albi, L';Total;2001;789
25009 Albi, L';Total;2000;782
25009 Albi, L';Total;1999;773
25009 Albi, L';Total;1998;776
25009 Albi, L';Total;1997;""
25009 Albi, L';Total;1996;791
25009 Albi, L';Hombres;2025;390
25009 Albi, L';Hombres;2024;393
25009 Albi, L';Hombres;2023;388
25009 Albi, L';Hombres;2022;387
25009 Albi, L';Hombres;2021;383
25009 Albi, L';Hombres;2020;378
25009 Albi, L';Hombres;2019;389
25009 Albi, L';Hombres;2018;393
25009 Albi, L';Hombres;2017;404
25009 Albi, L';Hombres;2016;418
25009 Albi, L';Hombres;2015;426
25009 Albi, L';Hombres;2014;436
