Municipios;Sexo;Periodo;Total
43035 Cabacés;Mujeres;2021;147
43036 Cabra del Camp;Total;2025;1.388
43036 Cabra del Camp;Total;2024;1.321
43036 Cabra del Camp;Total;2023;1.282
43036 Cabra del Camp;Total;2022;1.254
43036 Cabra del Camp;Total;2021;1.230
43036 Cabra del Camp;Hombres;2025;729
43036 Cabra del Camp;Hombres;2024;701
43036 Cabra del Camp;Hombres;2023;669
43036 Cabra del Camp;Hombres;2022;664
43036 Cabra del Camp;Hombres;2021;647
43036 Cabra del Camp;Mujeres;2025;659
43036 Cabra del Camp;Mujeres;2024;620
43036 Cabra del Camp;Mujeres;2023;613
43036 Cabra del Camp;Mujeres;2022;590
43036 Cabra del Camp;Mujeres;2021;583
43037 Calafell;Total;2025;32.624
43037 Calafell;Total;2024;31.828
43037 Calafell;Total;2023;30.631
43037 Calafell;Total;2022;29.102
43037 Calafell;Total;2021;28.463
43037 Calafell;Hombres;2025;16.260
43037 Calafell;Hombres;2024;15.860
43037 Calafell;Hombres;2023;15.345
43037 Calafell;Hombres;2022;14.601
43037 Calafell;Hombres;2021;14.280
43037 Calafell;Mujeres;2025;16.364
43037 Calafell;Mujeres;2024;15.968
43037 Calafell;Mujeres;2023;15.286
43037 Calafell;Mujeres;2022;14.501
43037 Calafell;Mujeres;2021;14.183
43903 Camarles;Total;2025;3.465
43903 Camarles;Total;2024;3.392
43903 Camarles;Total;2023;3.332
43903 Camarles;Total;2022;3.309
43903 Camarles;Total;2021;3.220
43903 Camarles;Hombres;2025;1.787
43903 Camarles;Hombres;2024;1.728
43903 Camarles;Hombres;2023;1.709
43903 Camarles;Hombres;2022;1.680
43903 Camarles;Hombres;2021;1.647
43903 Camarles;Mujeres;2025;1.678
43903 Camarles;Mujeres;2024;1.664
43903 Camarles;Mujeres;2023;1.623
43903 Camarles;Mujeres;2022;1.629
43903 Camarles;Mujeres;2021;1.573
43038 Cambrils;Total;2025;37.042
43038 Cambrils;Total;2024;36.849
43038 Cambrils;Total;2023;36.496
43038 Cambrils;Total;2022;35.675
43038 Cambrils;Total;2021;35.064
43038 Cambrils;Hombres;2025;18.041
43038 Cambrils;Hombres;2024;17.939
43038 Cambrils;Hombres;2023;17.829
43038 Cambrils;Hombres;2022;17.472
43038 Cambrils;Hombres;2021;17.150
43038 Cambrils;Mujeres;2025;19.001
43038 Cambrils;Mujeres;2024;18.910
43038 Cambrils;Mujeres;2023;18.667
43038 Cambrils;Mujeres;2022;18.203
43038 Cambrils;Mujeres;2021;17.914
43907 Canonja, La;Total;2025;6.001
43907 Canonja, La;Total;2024;5.943
43907 Canonja, La;Total;2023;5.922
43907 Canonja, La;Total;2022;5.873
43907 Canonja, La;Total;2021;5.933
43907 Canonja, La;Hombres;2025;2.946
43907 Canonja, La;Hombres;2024;2.897
43907 Canonja, La;Hombres;2023;2.890
43907 Canonja, La;Hombres;2022;2.871
43907 Canonja, La;Hombres;2021;2.892
43907 Canonja, La;Mujeres;2025;3.055
43907 Canonja, La;Mujeres;2024;3.046
43907 Canonja, La;Mujeres;2023;3.032
43907 Canonja, La;Mujeres;2022;3.002
43907 Canonja, La;Mujeres;2021;3.041
43039 Capafonts;Total;2025;101
43039 Capafonts;Total;2024;106
43039 Capafonts;Total;2023;110
43039 Capafonts;Total;2022;121
43039 Capafonts;Total;2021;125
43039 Capafonts;Hombres;2025;56
43039 Capafonts;Hombres;2024;59
43039 Capafonts;Hombres;2023;63
43039 Capafonts;Hombres;2022;68
43039 Capafonts;Hombres;2021;68
43039 Capafonts;Mujeres;2025;45
43039 Capafonts;Mujeres;2024;47
43039 Capafonts;Mujeres;2023;47
43039 Capafonts;Mujeres;2022;53
43039 Capafonts;Mujeres;2021;57
43040 Capçanes;Total;2025;444
43040 Capçanes;Total;2024;428
43040 Capçanes;Total;2023;424
43040 Capçanes;Total;2022;407
43040 Capçanes;Total;2021;394
43040 Capçanes;Hombres;2025;222
43040 Capçanes;Hombres;2024;215
43040 Capçanes;Hombres;2023;213
43040 Capçanes;Hombres;2022;208
43040 Capçanes;Hombres;2021;200
43040 Capçanes;Mujeres;2025;222
43040 Capçanes;Mujeres;2024;213
43040 Capçanes;Mujeres;2023;211
43040 Capçanes;Mujeres;2022;199
43040 Capçanes;Mujeres;2021;194
43041 Caseres;Total;2025;250
43041 Caseres;Total;2024;240
43041 Caseres;Total;2023;241
43041 Caseres;Total;2022;233
43041 Caseres;Total;2021;226
43041 Caseres;Hombres;2025;126
43041 Caseres;Hombres;2024;117
43041 Caseres;Hombres;2023;119
43041 Caseres;Hombres;2022;116
43041 Caseres;Hombres;2021;116
43041 Caseres;Mujeres;2025;124
43041 Caseres;Mujeres;2024;123
43041 Caseres;Mujeres;2023;122
43041 Caseres;Mujeres;2022;117
43041 Caseres;Mujeres;2021;110
43042 Castellvell del Camp;Total;2025;3.002
43042 Castellvell del Camp;Total;2024;2.995
43042 Castellvell del Camp;Total;2023;3.018
